letdocID	Author	AuthorID	Recipient	RecipientID	letdoc_Date_year	src_city	src_country	src_lng	src_lat	dest_city	dest_country	dst_lng	dst_lat
rousjeVF0110119_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Gingins, seigneur de Moiry, Victor de	gingivicto001009	1762	Yverdon-les-Bains	Switzerland	6.64142	46.778634	Château de Gingins	Switzerland	6.17839	46.408843
rousjeVF0110124_1key001cor	Constant de Rebecque, seigneur d'Hermenches, David Louis	constdavid000970	Rey, Marc Michel	reymarcm00002960	1762	The Hague	Netherlands	4.317415	52.083992	Amsterdam	Netherlands	4.893195	52.37312
rousjeVF0110126_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Moultou, Paul Claude	moultpaulc002622	1762	Yverdon-les-Bains	Switzerland	6.64142	46.778634	Geneva	Switzerland	6.142701	46.208358
rousjeVF0110147_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Moultou, Paul Claude	moultpaulc002622	1762	Yverdon-les-Bains	Switzerland	6.64142	46.778634	Geneva	Switzerland	6.142701	46.208358
rousjeVF0110157_1key001cor	Bonnet, Charles	bonnecharl000348	Haller, Baron Albrecht von	hallealbre000054	1762	Geneva	Switzerland	6.142701	46.208358	Roche	Switzerland	6.92959	46.361815
rousjeVF0110161_1key001cor	Cramer, Claire	crameclair000757	Rousseau, Jean Jacques	roussjeanj003042	1762	Geneva	Switzerland	6.142701	46.208358	Yverdon-les-Bains	Switzerland	6.64142	46.778634
rousjeVF0110175b_1key001cor	Bonnet, Charles	bonnecharl000348	Allamand, Jean Nicolas Sébastien	allamjeann000067	1762	Geneva	Switzerland	6.142701	46.208358	Leiden	Netherlands	4.49463	52.15457
rousjeVF0110190_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Cramer, Claire	crameclair000757	1762	Yverdon-les-Bains	Switzerland	6.64142	46.778634	Geneva	Switzerland	6.142701	46.208358
rousjeVF0110207b_1key001cor	Marcet de Mézières, Isaac Ami	marceisaac004455	Labat, baron de Grandcour, Jean Louis	labatjeanl002187	1762	Coppet	Switzerland	6.193244	46.316239	Geneva	Switzerland	6.142701	46.208358
rousjeVF0110212_1key001cor	Capperonnier de Gauffecourt, Jean Vincent	cappejeanv024438	Rousseau, Jean Jacques	roussjeanj003042	1762	Geneva	Switzerland	6.142701	46.208358	Yverdon-les-Bains	Switzerland	6.64142	46.778634
rousjeVF0110238_1key001cor	Tissot, Samuel Auguste André David	tissosamue003325	Rousseau, Jean Jacques	roussjeanj003042	1762	Lausanne	Switzerland	6.632335	46.519595	Yverdon-les-Bains	Switzerland	6.64142	46.778634
rousjeVF0110241_1key001cor	Burmann, Jacob Fabricius	burmajacob023658	Rousseau, Jean Jacques	roussjeanj003042	1762	Mézéry	Switzerland	8.22414	46.813091	Yverdon-les-Bains	Switzerland	6.64142	46.778634
rousjeVF0110243_1key001cor	Rousseau, Théodore	rousstheod023019	Rousseau, Jean Jacques	roussjeanj003042	1762	Geneva	Switzerland	6.142701	46.208358	Yverdon-les-Bains	Switzerland	6.64142	46.778634
rousjeVF0110255_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Pictet, Jean François	pictejeanf023216	1762	Môtiers-Travers	Switzerland	6.67322	46.93897	Geneva	Switzerland	6.142701	46.208358
rousjeVF0120017_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Moultou, Paul Claude	moultpaulc002622	1762	Môtiers-Travers	Switzerland	6.67322	46.93897	Geneva	Switzerland	6.142701	46.208358
rousjeVF0120020_1key001cor	Keith, 10th Earl Marischal, George	keithgeorg002133	Rousseau, Jean Jacques	roussjeanj003042	1762	Colombier	Switzerland	6.857987	46.965616	Môtiers-Travers	Switzerland	6.67322	46.93897
